"","short","long","gold","silver","bronze","total","long2","yr"
"1123","CZE","Czech Republic","4","3","4","11","Czech Republic","atlanta-1996"
"1124","SUI","Switzerland","4","3","-","7","Switzerland","atlanta-1996"
"1125","DEN","Denmark","4","1","1","6","Denmark","atlanta-1996"
"1126","TUR","Turkey","4","1","1","6","Turkey","atlanta-1996"
"1127","CAN","Canada","3","11","8","22","Canada","atlanta-1996"
"1128","BUL","Bulgaria","3","7","5","15","Bulgaria","atlanta-1996"
"1129","JPN","Japan","3","6","5","14","Japan","atlanta-1996"
"1130","KAZ","Kazakhstan","3","4","4","11","Kazakhstan","atlanta-1996"
"1131","BRA","Brazil","3","3","9","15","Brazil","atlanta-1996"
"1132","NZL","New Zealand","3","2","1","6","New Zealand","atlanta-1996"
"1133","RSA","South Africa","3","1","1","5","South Africa","atlanta-1996"
"1134","IRL","Ireland","3","-","1","4","Ireland","atlanta-1996"
"1135","SWE","Sweden","2","4","2","8","Sweden","atlanta-1996"
"1136","NOR","Norway","2","2","3","7","Norway","atlanta-1996"
"1137","BEL","Belgium","2","2","2","6","Belgium","atlanta-1996"
"1138","NGR","Nigeria","2","1","3","6","Nigeria","atlanta-1996"
"1139","PRK","Democratic People's Republic of Korea","2","1","2","5","Democratic People's Republic of Korea","atlanta-1996"
"1140","ALG","Algeria","2","-","1","3","Algeria","atlanta-1996"
"1141","ETH","Ethiopia","2","-","1","3","Ethiopia","atlanta-1996"
"1142","GBR","Great Britain","1","8","6","15","Great Britain","atlanta-1996"
"1143","BLR","Belarus","1","6","8","15","Belarus","atlanta-1996"
"1144","KEN","Kenya","1","4","3","8","Kenya","atlanta-1996"
"1145","JAM","Jamaica","1","3","2","6","Jamaica","atlanta-1996"
"1146","FIN","Finland","1","2","1","4","Finland","atlanta-1996"
"1147","SCG","Serbia and Montenegro","1","1","2","4","Serbia and Montenegro","atlanta-1996"
"1148","INA","Indonesia","1","1","2","4","Indonesia","atlanta-1996"
"1149","SVK","Slovakia","1","1","1","3","Slovakia","atlanta-1996"
"1150","IRI","Islamic Republic of Iran","1","1","1","3","Islamic Republic of Iran","atlanta-1996"
"1151","ARM","Armenia","1","1","-","2","Armenia","atlanta-1996"
"1152","CRO","Croatia","1","1","-","2","Croatia","atlanta-1996"
"1153","THA","Thailand","1","-","1","2","Thailand","atlanta-1996"
"1154","POR","Portugal","1","-","1","2","Portugal","atlanta-1996"
"1155","BDI","Burundi","1","-","-","1","Burundi","atlanta-1996"
"1156","SYR","Syrian Arab Republic","1","-","-","1","Syrian Arab Republic","atlanta-1996"
"1157","ECU","Ecuador","1","-","-","1","Ecuador","atlanta-1996"
"1158","HKG","Hong Kong, China","1","-","-","1","Hong Kong, China","atlanta-1996"
"1159","CRC","Costa Rica","1","-","-","1","Costa Rica","atlanta-1996"
"1160","ARG","Argentina","-","2","1","3","Argentina","atlanta-1996"
"1161","SLO","Slovenia","-","2","-","2","Slovenia","atlanta-1996"
"1162","NAM","Namibia","-","2","-","2","Namibia","atlanta-1996"
"1163","AUT","Austria","-","1","2","3","Austria","atlanta-1996"
"1164","MAS","Malaysia","-","1","1","2","Malaysia","atlanta-1996"
"1165","MDA","Republic of Moldova","-","1","1","2","Republic of Moldova","atlanta-1996"
"1166","UZB","Uzbekistan","-","1","1","2","Uzbekistan","atlanta-1996"
"1167","BAH","Bahamas","-","1","-","1","Bahamas","atlanta-1996"
"1168","TPE","Chinese Taipei","-","1","-","1","Chinese Taipei","atlanta-1996"
"1169","ZAM","Zambia","-","1","-","1","Zambia","atlanta-1996"
"1170","TGA","Tonga","-","1","-","1","Tonga","atlanta-1996"
"1171","LAT","Latvia","-","1","-","1","Latvia","atlanta-1996"
"1172","PHI","Philippines","-","1","-","1","Philippines","atlanta-1996"
"1173","AZE","Azerbaijan","-","1","-","1","Azerbaijan","atlanta-1996"
"1174","GEO","Georgia","-","-","2","2","Georgia","atlanta-1996"
"1175","TTO","Trinidad and Tobago","-","-","2","2","Trinidad and Tobago","atlanta-1996"
"1176","MAR","Morocco","-","-","2","2","Morocco","atlanta-1996"
"1177","MEX","Mexico","-","-","1","1","Mexico","atlanta-1996"
"1178","MOZ","Mozambique","-","-","1","1","Mozambique","atlanta-1996"
"1179","MGL","Mongolia","-","-","1","1","Mongolia","atlanta-1996"
"1180","TUN","Tunisia","-","-","1","1","Tunisia","atlanta-1996"
"1181","IND","India","-","-","1","1","India","atlanta-1996"
"1182","UGA","Uganda","-","-","1","1","Uganda","atlanta-1996"
"1183","LTU","Lithuania","-","-","1","1","Lithuania","atlanta-1996"
"1184","ISR","Israel","-","-","1","1","Israel","atlanta-1996"
"1185","PUR","Puerto Rico","-","-","1","1","Puerto Rico","atlanta-1996"
"1186","USA","United States of America","44","32","25","101","United States of America","atlanta-1996"
"1187","RUS","Russian Federation","26","21","16","63","Russian Federation","atlanta-1996"
"1188","GER","Germany","20","18","27","65","Germany","atlanta-1996"
"1189","CHN","People's Republic of China","16","22","12","50","People's Republic of China","atlanta-1996"
"1190","FRA","France","15","7","15","37","France","atlanta-1996"
"1191","ITA","Italy","13","10","12","35","Italy","atlanta-1996"
"1192","AUS","Australia","9","9","23","41","Australia","atlanta-1996"
"1193","CUB","Cuba","9","8","8","25","Cuba","atlanta-1996"
"1194","UKR","Ukraine","9","2","12","23","Ukraine","atlanta-1996"
"1195","KOR","Republic of Korea","7","15","5","27","Republic of Korea","atlanta-1996"
"1196","POL","Poland","7","5","5","17","Poland","atlanta-1996"
"1197","HUN","Hungary","7","4","10","21","Hungary","atlanta-1996"
"1198","ESP","Spain","5","6","6","17","Spain","atlanta-1996"
"1199","ROU","Romania","4","7","9","20","Romania","atlanta-1996"
"1200","NED","Netherlands","4","5","10","19","Netherlands","atlanta-1996"
"1201","GRE","Greece","4","4","-","8","Greece","atlanta-1996"
"1202","CZE","Czech Republic","4","3","4","11","Czech Republic","atlanta-1996"
"1203","SUI","Switzerland","4","3","-","7","Switzerland","atlanta-1996"
"1204","DEN","Denmark","4","1","1","6","Denmark","atlanta-1996"
"1205","TUR","Turkey","4","1","1","6","Turkey","atlanta-1996"
"1206","CAN","Canada","3","11","8","22","Canada","atlanta-1996"
"1207","BUL","Bulgaria","3","7","5","15","Bulgaria","atlanta-1996"
"1208","JPN","Japan","3","6","5","14","Japan","atlanta-1996"
"1209","KAZ","Kazakhstan","3","4","4","11","Kazakhstan","atlanta-1996"
"1210","BRA","Brazil","3","3","9","15","Brazil","atlanta-1996"
"1211","NZL","New Zealand","3","2","1","6","New Zealand","atlanta-1996"
"1212","RSA","South Africa","3","1","1","5","South Africa","atlanta-1996"
"1213","IRL","Ireland","3","-","1","4","Ireland","atlanta-1996"
"1214","SWE","Sweden","2","4","2","8","Sweden","atlanta-1996"
"1215","NOR","Norway","2","2","3","7","Norway","atlanta-1996"
"1216","BEL","Belgium","2","2","2","6","Belgium","atlanta-1996"
"1217","NGR","Nigeria","2","1","3","6","Nigeria","atlanta-1996"
"1218","PRK","Democratic People's Republic of Korea","2","1","2","5","Democratic People's Republic of Korea","atlanta-1996"
"1219","ALG","Algeria","2","-","1","3","Algeria","atlanta-1996"
"1220","ETH","Ethiopia","2","-","1","3","Ethiopia","atlanta-1996"
"1221","GBR","Great Britain","1","8","6","15","Great Britain","atlanta-1996"
"1222","BLR","Belarus","1","6","8","15","Belarus","atlanta-1996"
"1223","KEN","Kenya","1","4","3","8","Kenya","atlanta-1996"
"1224","JAM","Jamaica","1","3","2","6","Jamaica","atlanta-1996"
"1225","FIN","Finland","1","2","1","4","Finland","atlanta-1996"
"1226","SCG","Serbia and Montenegro","1","1","2","4","Serbia and Montenegro","atlanta-1996"
"1227","INA","Indonesia","1","1","2","4","Indonesia","atlanta-1996"
"1228","SVK","Slovakia","1","1","1","3","Slovakia","atlanta-1996"
"1229","IRI","Islamic Republic of Iran","1","1","1","3","Islamic Republic of Iran","atlanta-1996"
"1230","ARM","Armenia","1","1","-","2","Armenia","atlanta-1996"
"1231","CRO","Croatia","1","1","-","2","Croatia","atlanta-1996"
"1232","THA","Thailand","1","-","1","2","Thailand","atlanta-1996"
"1233","POR","Portugal","1","-","1","2","Portugal","atlanta-1996"
"1234","BDI","Burundi","1","-","-","1","Burundi","atlanta-1996"
"1235","SYR","Syrian Arab Republic","1","-","-","1","Syrian Arab Republic","atlanta-1996"
"1236","ECU","Ecuador","1","-","-","1","Ecuador","atlanta-1996"
"1237","HKG","Hong Kong, China","1","-","-","1","Hong Kong, China","atlanta-1996"
"1238","CRC","Costa Rica","1","-","-","1","Costa Rica","atlanta-1996"
"1239","ARG","Argentina","-","2","1","3","Argentina","atlanta-1996"
"1240","SLO","Slovenia","-","2","-","2","Slovenia","atlanta-1996"
"1241","NAM","Namibia","-","2","-","2","Namibia","atlanta-1996"
"1242","AUT","Austria","-","1","2","3","Austria","atlanta-1996"
"1243","MAS","Malaysia","-","1","1","2","Malaysia","atlanta-1996"
"1244","MDA","Republic of Moldova","-","1","1","2","Republic of Moldova","atlanta-1996"
"1245","UZB","Uzbekistan","-","1","1","2","Uzbekistan","atlanta-1996"
"1246","BAH","Bahamas","-","1","-","1","Bahamas","atlanta-1996"
"1247","TPE","Chinese Taipei","-","1","-","1","Chinese Taipei","atlanta-1996"
"1248","ZAM","Zambia","-","1","-","1","Zambia","atlanta-1996"
"1249","TGA","Tonga","-","1","-","1","Tonga","atlanta-1996"
"1250","LAT","Latvia","-","1","-","1","Latvia","atlanta-1996"
"1251","PHI","Philippines","-","1","-","1","Philippines","atlanta-1996"
"1252","AZE","Azerbaijan","-","1","-","1","Azerbaijan","atlanta-1996"
"1253","GEO","Georgia","-","-","2","2","Georgia","atlanta-1996"
"1254","TTO","Trinidad and Tobago","-","-","2","2","Trinidad and Tobago","atlanta-1996"
"1255","MAR","Morocco","-","-","2","2","Morocco","atlanta-1996"
"1256","MEX","Mexico","-","-","1","1","Mexico","atlanta-1996"
"1257","MOZ","Mozambique","-","-","1","1","Mozambique","atlanta-1996"
"1258","MGL","Mongolia","-","-","1","1","Mongolia","atlanta-1996"
"1259","TUN","Tunisia","-","-","1","1","Tunisia","atlanta-1996"
"1260","IND","India","-","-","1","1","India","atlanta-1996"
"1261","UGA","Uganda","-","-","1","1","Uganda","atlanta-1996"
"1262","LTU","Lithuania","-","-","1","1","Lithuania","atlanta-1996"
"1263","ISR","Israel","-","-","1","1","Israel","atlanta-1996"
"1264","PUR","Puerto Rico","-","-","1","1","Puerto Rico","atlanta-1996"
"1265","RUS","Russian Federation","11","8","4","23","Russian Federation","lillehammer-1994"
"1266","NOR","Norway","10","11","5","26","Norway","lillehammer-1994"
"1267","GER","Germany","9","7","8","24","Germany","lillehammer-1994"
"1268","ITA","Italy","7","5","8","20","Italy","lillehammer-1994"
"1269","USA","United States of America","6","5","2","13","United States of America","lillehammer-1994"
"1270","KOR","Republic of Korea","4","1","1","6","Republic of Korea","lillehammer-1994"
"1271","CAN","Canada","3","6","4","13","Canada","lillehammer-1994"
"1272","SUI","Switzerland","3","4","2","9","Switzerland","lillehammer-1994"
"1273","AUT","Austria","2","3","4","9","Austria","lillehammer-1994"
"1274","SWE","Sweden","2","1","-","3","Sweden","lillehammer-1994"
"1275","JPN","Japan","1","2","2","5","Japan","lillehammer-1994"
"1276","KAZ","Kazakhstan","1","2","-","3","Kazakhstan","lillehammer-1994"
"1277","UKR","Ukraine","1","-","1","2","Ukraine","lillehammer-1994"
"1278","UZB","Uzbekistan","1","-","-","1","Uzbekistan","lillehammer-1994"
"1279","BLR","Belarus","-","2","-","2","Belarus","lillehammer-1994"
"1280","FIN","Finland","-","1","5","6","Finland","lillehammer-1994"
"1281","FRA","France","-","1","4","5","France","lillehammer-1994"
"1282","NED","Netherlands","-","1","3","4","Netherlands","lillehammer-1994"
"1283","CHN","People's Republic of China","-","1","2","3","People's Republic of China","lillehammer-1994"
"1284","SLO","Slovenia","-","-","3","3","Slovenia","lillehammer-1994"
"1285","GBR","Great Britain","-","-","2","2","Great Britain","lillehammer-1994"
"1286","AUS","Australia","-","-","1","1","Australia","lillehammer-1994"
"1287","RUS","Russian Federation","11","8","4","23","Russian Federation","lillehammer-1994"
"1288","NOR","Norway","10","11","5","26","Norway","lillehammer-1994"
"1289","GER","Germany","9","7","8","24","Germany","lillehammer-1994"
"1290","ITA","Italy","7","5","8","20","Italy","lillehammer-1994"
"1291","USA","United States of America","6","5","2","13","United States of America","lillehammer-1994"
"1292","KOR","Republic of Korea","4","1","1","6","Republic of Korea","lillehammer-1994"
"1293","CAN","Canada","3","6","4","13","Canada","lillehammer-1994"
"1294","SUI","Switzerland","3","4","2","9","Switzerland","lillehammer-1994"
"1295","AUT","Austria","2","3","4","9","Austria","lillehammer-1994"
"1296","SWE","Sweden","2","1","-","3","Sweden","lillehammer-1994"
"1297","JPN","Japan","1","2","2","5","Japan","lillehammer-1994"
"1298","KAZ","Kazakhstan","1","2","-","3","Kazakhstan","lillehammer-1994"
"1299","UKR","Ukraine","1","-","1","2","Ukraine","lillehammer-1994"
"1300","UZB","Uzbekistan","1","-","-","1","Uzbekistan","lillehammer-1994"
"1301","BLR","Belarus","-","2","-","2","Belarus","lillehammer-1994"
"1302","FIN","Finland","-","1","5","6","Finland","lillehammer-1994"
"1303","FRA","France","-","1","4","5","France","lillehammer-1994"
"1304","NED","Netherlands","-","1","3","4","Netherlands","lillehammer-1994"
"1305","CHN","People's Republic of China","-","1","2","3","People's Republic of China","lillehammer-1994"
"1306","SLO","Slovenia","-","-","3","3","Slovenia","lillehammer-1994"
"1307","GBR","Great Britain","-","-","2","2","Great Britain","lillehammer-1994"
"1308","AUS","Australia","-","-","1","1","Australia","lillehammer-1994"
"1309","GER","Germany","10","10","6","26","Germany","albertville-1992"
"1310","EUN","Unified Team","9","6","8","23","Unified Team","albertville-1992"
"1311","NOR","Norway","9","6","5","20","Norway","albertville-1992"
"1312","AUT","Austria","6","7","8","21","Austria","albertville-1992"
"1313","USA","United States of America","5","4","2","11","United States of America","albertville-1992"
"1314","ITA","Italy","4","6","4","14","Italy","albertville-1992"
"1315","FRA","France","3","5","1","9","France","albertville-1992"
"1316","FIN","Finland","3","1","3","7","Finland","albertville-1992"
"1317","CAN","Canada","2","3","2","7","Canada","albertville-1992"
"1318","KOR","Republic of Korea","2","1","1","4","Republic of Korea","albertville-1992"
"1319","JPN","Japan","1","2","4","7","Japan","albertville-1992"
"1320","NED","Netherlands","1","1","2","4","Netherlands","albertville-1992"
"1321","SWE","Sweden","1","-","3","4","Sweden","albertville-1992"
"1322","SUI","Switzerland","1","-","2","3","Switzerland","albertville-1992"
"1323","CHN","People's Republic of China","-","3","-","3","People's Republic of China","albertville-1992"
"1324","LUX","Luxembourg","-","2","-","2","Luxembourg","albertville-1992"
"1325","NZL","New Zealand","-","1","-","1","New Zealand","albertville-1992"
"1326","TCH","Czechoslovakia","-","-","3","3","Czechoslovakia","albertville-1992"
"1327","ESP","Spain","-","-","1","1","Spain","albertville-1992"
"1328","PRK","Democratic People's Republic of Korea","-","-","1","1","Democratic People's Republic of Korea","albertville-1992"
"1329","GER","Germany","10","10","6","26","Germany","albertville-1992"
"1330","EUN","Unified Team","9","6","8","23","Unified Team","albertville-1992"
"1331","NOR","Norway","9","6","5","20","Norway","albertville-1992"
"1332","AUT","Austria","6","7","8","21","Austria","albertville-1992"
"1333","USA","United States of America","5","4","2","11","United States of America","albertville-1992"
"1334","ITA","Italy","4","6","4","14","Italy","albertville-1992"
"1335","FRA","France","3","5","1","9","France","albertville-1992"
"1336","FIN","Finland","3","1","3","7","Finland","albertville-1992"
"1337","CAN","Canada","2","3","2","7","Canada","albertville-1992"
"1338","KOR","Republic of Korea","2","1","1","4","Republic of Korea","albertville-1992"
"1339","JPN","Japan","1","2","4","7","Japan","albertville-1992"
"1340","NED","Netherlands","1","1","2","4","Netherlands","albertville-1992"
"1341","SWE","Sweden","1","-","3","4","Sweden","albertville-1992"
"1342","SUI","Switzerland","1","-","2","3","Switzerland","albertville-1992"
"1343","CHN","People's Republic of China","-","3","-","3","People's Republic of China","albertville-1992"
"1344","LUX","Luxembourg","-","2","-","2","Luxembourg","albertville-1992"
"1345","NZL","New Zealand","-","1","-","1","New Zealand","albertville-1992"
"1346","TCH","Czechoslovakia","-","-","3","3","Czechoslovakia","albertville-1992"
"1347","ESP","Spain","-","-","1","1","Spain","albertville-1992"
"1348","PRK","Democratic People's Republic of Korea","-","-","1","1","Democratic People's Republic of Korea","albertville-1992"
"1349","EUN","Unified Team","45","38","29","112","Unified Team","barcelona-1992"
"1350","USA","United States of America","37","34","37","108","United States of America","barcelona-1992"
"1351","GER","Germany","33","21","28","82","Germany","barcelona-1992"
"1352","CHN","People's Republic of China","16","22","16","54","People's Republic of China","barcelona-1992"
"1353","CUB","Cuba","14","6","11","31","Cuba","barcelona-1992"
"1354","ESP","Spain","13","7","2","22","Spain","barcelona-1992"
"1355","KOR","Republic of Korea","12","5","12","29","Republic of Korea","barcelona-1992"
"1356","HUN","Hungary","11","12","7","30","Hungary","barcelona-1992"
"1357","FRA","France","8","5","16","29","France","barcelona-1992"
"1358","AUS","Australia","7","9","11","27","Australia","barcelona-1992"
"1359","CAN","Canada","7","4","7","18","Canada","barcelona-1992"
"1360","ITA","Italy","6","5","8","19","Italy","barcelona-1992"
"1361","GBR","Great Britain","5","3","12","20","Great Britain","barcelona-1992"
